acl 2.3.1-3
gmp 6.2.1-2
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnutls 3.8.0-1
gpart 0.3-4
gpgme 1.19.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
grep 3.10-1
grml-zsh-config 0.19.5-1
groff 1.22.4-10
grub 2:2.06.r456.g65bc45963-1
gssproxy 0.9.1-2
gzip 1.12-2
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.13.1-2
hwdata 0.368-1
hyperv 6.2-1
iana-etc 20230306-1
icu 72.1-2
intel-ucode 20230214-1
iproute2 6.2.0-2
iptables 1:1.8.9-1
iputils 20221126-1
irssi 1.4.3-2
iw 5.19-1
iwd 2.4-1
jansson 2.14-2
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
json-c 0.16-1
kbd 2.5.1-1
keyutils 1.6.3-1
kitty-terminfo 0.27.1-1
kmod 30-3
krb5 1.20.1-1
lame 3.100-4
lbzip2 2.5-5
ldns 1.8.3-2
less 1:608-2
lftp 4.9.2-1
libaio 0.3.113-2
libarchive 3.6.2-2
libassuan 2.5.5-2
libasyncns 1:0.8+r3+g68cd5af-2
libbpf 1.1.0-1
libbsd 0.11.7-1
libcap 2.68-1
libcap-ng 0.8.3-1
libcbor 0.10.2-1
libdnet 1.16.3-1
libedit 20221030_3.1-1
libelf 0.189-1
libevent 2.1.12-4
libffi 3.4.4-1
libfido2 1.13.0-1
libgcrypt 1.10.1-2
libgpg-error 1.46-2
libgudev 237-2
libice 1.1.1-2
libidn 1.41-1
libidn2 2.3.4-3
libimobiledevice 1.3.0-6
libinih 56-1
libjpeg-turbo 2.1.5.1-1
libksba 1.6.3-1
libldap 2.6.4-1
liblouis 3.25.0-1
libmaxminddb 1.7.1-1
libmbim 1.28.4-1
libmd 1.0.4-1
libmm-glib 1.20.6-1
libmnl 1.0.5-1
libmspack 1:0.11alpha-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-1
libnfnetlink 1.0.2-1
libnftnl 1.2.5-1
libnghttp2 1.52.0-1
libnl 3.7.0-3
libnsl 2.0.0-3
libogg 1.3.5-1
libotr 4.1.1-3
libp11-kit 0.24.1-1
libpcap 1.10.3-1
libpipeline 1.5.7-1
libplist 2.2.0-6
libpng 1.6.39-1
libproxy 0.4.18-2
libpsl 0.21.2-1
libpulse 16.1-6
libqmi 1.32.4-1
libqrtr-glib 1.2.2-2
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.4-1
libsecret 0.20.5-2
libsigc++ 2.12.0-1
libsm 1.2.4-1
libsndfile 1.2.0-1
libsonic 0.2.0-1
libspeechd 0.11.4-1
libssh2 1.10.0-3
libsysprof-capture 3.48.0-1
libtasn1 4.19.0-1
libtiff 4.5.0-3
libtirpc 1.3.3-2
libtool 2.4.7+4+g1ec8fa28-2
libunistring 1.1-2
liburcu 0.14.0-1
liburing 2.3-1
libusb 1.0.26-2
libusb-compat 0.1.8-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.44.2-1
libverto 0.3.2-4
libvorbis 1.3.7-3
libwbclient 4.18.1-1
libx11 1.8.4-1
libxau 1.0.11-2
libxcb 1.15-2
libxcrypt 4.4.33-1
